ETIQUETA,SIGNIFICADO,FAMILIA
LEXG,EXTRÊME GAUCHE,OTRAS IZQUIERDAS
LCOP,PCF ET PG,OTRAS IZQUIERDAS
LDVG,DIVERS GAUCHE,OTRAS IZQUIERDAS
LSOC,PARTI SOCIALISTE,IZQUIERDA
LVEC,LES VERTS,OTROS
LREG,RÉGIONALISTES,OTROS
LAUT,AUTRES,OTROS
LCMD,CENTRE MoDem,CENTRO
LMAJ,MAJORITÉ PRÉSIDENTIELLE,DERECHA
LDVD,DIVERS DROITE,OTRAS DERECHAS
LDSV,SOUVERANISTES DE DROITE,OTRAS DERECHAS
LEXD,EXTRÊME DROITE,OTRAS DERECHAS
LFN,FRONT NATIONAL,FN
