APELLIDO_CANDIDATO,PARTIDO,FAMILIA
ARTHAUD,LO,OTRAS IZQUIERDAS
MÉLENCHON,FG,OTRAS IZQUIERDAS
POUTOU,NPA,OTRAS IZQUIERDAS
HOLLANDE,PS,IZQUIERDA
JOLY,EELV,OTROS
CHEMINADE,SP,OTROS
BAYROU,MoDem,CENTRO
SARKOZY,UMP,DERECHA
DUPONT-AIGNAN,DLR,OTRAS DERECHAS
LE PEN,FN,FN
